# Server version 0.08 running on 192.168.0.14:8124
# Game ID: 58
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Mar 28 23:22:46 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 1
PIT 1 23
PIT 0 16
PIT 1 22
PIT 0 17
PIT 1 19
PIT 0 7
PIT 1 18
PIT 0 13
PIT 1 26
PIT 0 24
PIT 1 6
PIT 0 0
PIT 1 29
PIT 0 17
PIT 1 4
PIT 0 18
PIT 1 17
GAMEOVER WINNER 1
# Game ended: Mon Mar 28 23:22:46 EDT 2016
