# Server version 0.08 running on 192.168.0.14:8126
# Game ID: 84
# Board class: hus.HusBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Mon Mar 28 23:54:52 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.0.14
# Player 2: Player-1, '260549558', running on 192.168.0.14
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 3
PIT 1 22
PIT 0 19
PIT 1 17
PIT 0 7
PIT 1 23
PIT 0 21
PIT 1 25
PIT 0 13
PIT 1 14
PIT 0 2
PIT 1 18
PIT 0 9
PIT 1 19
PIT 0 24
PIT 1 4
PIT 0 12
PIT 1 3
PIT 0 13
PIT 1 25
PIT 0 0
PIT 1 0
GAMEOVER WINNER 1
# Game ended: Mon Mar 28 23:54:55 EDT 2016
