# Server version 0.08 running on 192.168.0.14:8132
# Game ID: 140
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 29 02:25:14 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 0
PIT 1 20
PIT 0 1
PIT 1 18
PIT 0 3
PIT 1 16
PIT 0 5
PIT 1 21
PIT 0 6
PIT 1 19
PIT 0 8
PIT 1 15
PIT 0 15
PIT 1 27
PIT 0 13
PIT 1 31
PIT 0 16
PIT 1 10
GAMEOVER WINNER 1
# Game ended: Tue Mar 29 02:25:17 EDT 2016
