# Server version 0.08 running on wpa146072.wireless.mcgill.ca:8152
# Game ID: 403
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 29 19:24:04 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 0
PIT 0 21
PIT 1 15
PIT 0 11
PIT 1 10
PIT 0 18
PIT 1 1
PIT 0 27
PIT 1 20
PIT 0 20
PIT 1 12
PIT 0 23
PIT 1 16
PIT 0 28
PIT 1 6
PIT 0 20
PIT 1 18
PIT 0 22
PIT 1 7
PIT 0 0
PIT 1 15
PIT 0 5
PIT 1 10
PIT 0 2
PIT 1 11
PIT 0 15
PIT 1 12
PIT 0 30
PIT 1 8
PIT 0 2
PIT 1 17
PIT 0 13
GAMEOVER WINNER 0
# Game ended: Tue Mar 29 19:24:08 EDT 2016
