# Server version 0.08 running on 192.168.0.14:8180
# Game ID: 1813
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Mar 30 23:58:06 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 6
PIT 0 6
PIT 1 0
PIT 0 9
PIT 1 1
PIT 0 24
PIT 1 3
PIT 0 27
PIT 1 5
PIT 0 21
PIT 1 6
PIT 0 24
PIT 1 7
PIT 0 20
PIT 1 8
PIT 0 13
PIT 1 10
PIT 0 31
PIT 1 11
PIT 0 17
PIT 1 14
PIT 0 22
GAMEOVER WINNER 0
# Game ended: Wed Mar 30 23:58:09 EDT 2016
