# Server version 0.08 running on wpa146086.wireless.mcgill.ca:8185
# Game ID: 2023
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 14:24:01 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 0
PIT 0 21
PIT 1 1
PIT 0 24
PIT 1 18
PIT 0 19
PIT 1 9
PIT 0 29
PIT 1 3
PIT 0 28
PIT 1 8
PIT 0 9
PIT 1 13
PIT 0 26
GAMEOVER WINNER 0
# Game ended: Thu Mar 31 14:24:04 EDT 2016
