# Server version 0.08 running on web006221.wireless.mcgill.ca:8185
# Game ID: 2169
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 14:50:27 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 6
PIT 0 6
PIT 1 0
PIT 0 9
PIT 1 15
PIT 0 21
PIT 1 1
PIT 0 17
PIT 1 6
PIT 0 25
PIT 1 13
PIT 0 1
PIT 1 7
PIT 0 21
PIT 1 3
PIT 0 6
PIT 1 9
PIT 0 28
GAMEOVER WINNER 0
# Game ended: Thu Mar 31 14:50:29 EDT 2016
