# Server version 0.08 running on wpa146022.wireless.mcgill.ca:8228
# Game ID: 5159
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Apr 01 16:07:19 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 4
PIT 1 7
PIT 0 23
PIT 1 13
PIT 0 17
PIT 1 4
PIT 0 16
PIT 1 16
PIT 0 11
PIT 1 25
PIT 0 17
PIT 1 27
PIT 0 28
PIT 1 29
PIT 0 31
PIT 1 4
PIT 0 27
PIT 1 30
PIT 0 7
PIT 1 31
PIT 0 9
PIT 1 0
PIT 0 5
PIT 1 1
PIT 0 3
PIT 1 3
PIT 0 22
PIT 1 8
PIT 0 13
PIT 1 11
PIT 0 9
PIT 1 12
PIT 0 7
PIT 1 6
PIT 0 28
PIT 1 2
PIT 0 23
PIT 1 13
PIT 0 9
PIT 1 16
PIT 0 16
PIT 1 15
PIT 0 9
PIT 1 18
PIT 0 17
GAMEOVER WINNER 0
# Game ended: Fri Apr 01 16:07:22 EDT 2016
