# Server version 0.08 running on 192.168.0.14:8241
# Game ID: 5813
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Apr 02 02:06:16 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 12
PIT 0 12
PIT 1 13
PIT 0 15
PIT 1 3
PIT 0 25
PIT 1 0
PIT 0 31
PIT 1 1
PIT 0 29
PIT 1 3
PIT 0 2
PIT 1 6
PIT 0 27
PIT 1 7
PIT 0 17
PIT 1 9
PIT 0 1
PIT 1 12
PIT 0 12
PIT 1 13
PIT 0 0
PIT 1 16
PIT 0 1
GAMEOVER WINNER 0
# Game ended: Sat Apr 02 02:06:23 EDT 2016
