# Server version 0.08 running on localhost:8244
# Game ID: 5919
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Apr 02 16:08:36 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 12
PIT 0 15
PIT 1 15
PIT 0 12
PIT 1 22
PIT 0 13
PIT 1 21
PIT 0 19
PIT 1 16
PIT 0 16
PIT 1 23
PIT 0 2
PIT 1 11
PIT 0 22
PIT 1 18
PIT 0 15
PIT 1 15
PIT 0 0
PIT 1 0
PIT 0 24
PIT 1 1
GAMEOVER WINNER 1
# Game ended: Sat Apr 02 16:08:39 EDT 2016
