# Server version 0.08 running on 192.168.0.10:8255
# Game ID: 7034
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 03:10:50 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 3
PIT 1 12
PIT 0 9
PIT 1 21
PIT 0 13
PIT 1 23
PIT 0 17
PIT 1 19
PIT 0 14
PIT 1 15
PIT 0 16
PIT 1 10
PIT 0 23
PIT 1 12
PIT 0 20
PIT 1 31
PIT 0 29
PIT 1 26
PIT 0 15
PIT 1 23
PIT 0 25
PIT 1 1
GAMEOVER WINNER 1
# Game ended: Mon Apr 04 03:10:52 EDT 2016
