# Server version 0.08 running on wpa146035.wireless.mcgill.ca:8123
# Game ID: 7652
# Board class: hus.HusBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Mon Apr 04 15:56:24 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa146035.wireless.mcgill.ca
# Player 2: Player-1, '260549558', running on wpa146035.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 4
PIT 1 1
PIT 0 19
PIT 1 14
PIT 0 10
PIT 1 11
PIT 0 23
PIT 1 17
PIT 0 20
PIT 1 0
PIT 0 22
PIT 1 5
PIT 0 12
PIT 1 20
PIT 0 0
PIT 1 4
PIT 0 1
PIT 1 9
PIT 0 3
PIT 1 7
PIT 0 2
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 15:56:27 EDT 2016
