# Server version 0.08 running on 192.168.0.10:8209
# Game ID: 8239
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 21:40:46 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 3
PIT 1 18
PIT 0 12
PIT 1 21
PIT 0 6
PIT 1 8
PIT 0 16
PIT 1 0
PIT 0 17
PIT 1 12
PIT 0 19
PIT 1 1
PIT 0 18
PIT 1 2
PIT 0 0
PIT 1 3
PIT 0 10
PIT 1 6
PIT 0 13
GAMEOVER WINNER 0
# Game ended: Tue Apr 05 21:40:58 EDT 2016
