# Server version 0.08 running on 192.168.0.35:8489
# Game ID: 11609
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 00:38:21 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 18
PIT 1 20
PIT 0 16
PIT 1 18
PIT 0 5
PIT 1 8
PIT 0 14
PIT 1 14
PIT 0 18
PIT 1 21
PIT 0 4
PIT 1 26
PIT 0 1
PIT 1 18
PIT 0 16
PIT 1 12
PIT 0 5
PIT 1 23
PIT 0 2
PIT 1 26
PIT 0 0
PIT 1 19
PIT 0 11
PIT 1 24
PIT 0 12
PIT 1 26
PIT 0 23
PIT 1 28
GAMEOVER WINNER 1
# Game ended: Thu Apr 07 00:38:41 EDT 2016
